学生序号,题号,Activity时间,Answer时间,Notes时间,AA时间差,NA时间差,最终时间差
12,114,2017-6-18 13:27:25,2017-06-18 13:27:40,,15,0,15
12,112,2017-6-18 13:18:16,2017-06-18 13:24:44,,388,0,388
20,114,2017-6-18 09:28:53,2017-06-18 09:29:03,,10,0,10
31,109,2017-6-18 04:49:28,2017-06-18 05:03:18,,830,0,830
31,108,2017-6-18 04:49:10,2017-06-18 04:49:15,,5,0,5
31,107,2017-6-18 04:48:51,2017-06-18 04:48:57,,6,0,6
31,106,2017-6-18 04:48:16,2017-06-18 04:48:33,,17,0,17
74,112,2017-6-18 02:21:42,2017-06-18 02:21:48,2017-06-18 02:21:51,6,9,9
74,113,2017-6-18 02:18:12,2017-06-18 02:18:31,,19,0,19
53,112,2017-6-18 01:25:54,2017-06-18 01:28:15,,141,0,141
53,111,2017-6-18 01:20:07,2017-06-18 01:24:19,,252,0,252
53,105,2017-6-18 01:14:08,2017-06-18 01:20:02,,354,0,354
51,105,2017-6-17 16:52:42,2017-06-17 16:53:45,,63,0,63
51,113,2017-6-17 16:40:28,2017-06-17 16:40:54,,26,0,26
51,111,2017-6-17 16:49:32,2017-06-17 16:52:36,,184,0,184
51,112,2017-6-17 16:44:15,2017-06-17 16:49:25,2017-06-17 16:44:15,310,0,310
31,112,2017-6-17 15:20:01,2017-06-17 15:23:50,,229,0,229
31,111,2017-6-17 15:10:19,2017-06-17 15:19:56,,577,0,577
31,105,2017-6-17 15:09:30,2017-06-17 15:10:14,,44,0,44
31,110,2017-6-17 15:08:09,2017-06-17 15:08:38,,29,0,29
31,113,2017-6-17 15:07:31,2017-06-17 15:07:46,,15,0,15
4,112,2017-6-17 02:44:12,2017-06-17 02:44:34,,22,0,22
4,26,2017-6-17 02:46:06,2017-06-17 02:46:16,,10,0,10
75,100,2017-6-16 16:19:15,2017-06-16 16:39:34,,1219,0,1219
75,99,2017-6-16 16:16:45,2017-06-16 16:18:40,,115,0,115
75,98,2017-6-16 16:15:06,2017-06-16 16:16:24,,78,0,78
20,94,2017-6-16 11:15:39,2017-06-16 11:15:53,,14,0,14
20,112,2017-6-16 11:12:25,2017-06-16 11:15:30,,185,0,185
55,110,2017-6-15 10:23:29,2017-06-15 10:23:44,,15,0,15
57,109,2017-6-15 09:32:01,2017-06-15 09:34:24,,143,0,143
57,109,2017-6-15 09:34:33,2017-06-15 09:50:18,2017-06-15 09:34:33,945,0,945
57,108,2017-6-15 09:31:26,2017-06-15 09:31:45,,19,0,19
57,107,2017-6-15 09:31:05,2017-06-15 09:31:10,,5,0,5
57,105,2017-6-15 09:24:38,2017-06-15 09:29:49,,311,0,311
57,105,2017-6-15 09:29:52,2017-06-15 09:30:01,2017-06-15 09:29:52,9,0,9
57,110,2017-6-15 09:23:02,2017-06-15 09:24:04,,62,0,62
57,110,2017-6-15 09:24:07,2017-06-15 09:24:21,2017-06-15 09:24:07,14,0,14
57,111,2017-6-15 09:14:19,2017-06-15 09:20:33,,374,0,374
57,106,2017-6-15 09:20:58,2017-06-15 09:21:05,,7,0,7
83,110,2017-6-15 07:38:35,2017-06-15 07:40:40,,125,0,125
83,111,2017-6-15 07:51:40,2017-06-15 07:53:49,,129,0,129
83,105,2017-6-15 07:45:34,2017-06-15 07:47:45,,131,0,131
67,111,2017-6-15 07:41:12,2017-06-15 07:50:56,,584,0,584
34,106,2017-6-15 09:04:47,2017-06-15 09:05:11,,24,0,24
34,107,2017-6-15 09:04:46,2017-06-15 09:05:26,,40,0,40
34,108,2017-6-15 09:04:45,2017-06-15 09:05:37,,52,0,52
67,106,2017-6-15 09:04:37,2017-06-15 09:07:10,,153,0,153
67,107,2017-6-15 09:04:24,2017-06-15 09:04:31,,7,0,7
67,108,2017-6-15 09:04:13,2017-06-15 09:04:19,,6,0,6
74,111,2017-6-15 08:22:03,2017-06-15 08:33:12,,669,0,669
74,109,2017-6-15 08:56:49,2017-06-15 09:04:01,,432,0,432
67,109,2017-6-15 09:01:28,2017-06-15 09:04:05,,157,0,157
67,110,2017-6-15 09:01:00,2017-06-15 09:01:18,,18,0,18
74,110,2017-6-15 08:48:34,2017-06-15 08:56:29,2017-06-15 08:48:34,475,0,475
34,105,2017-6-15 08:48:11,2017-06-15 09:04:30,,979,0,979
34,110,2017-6-15 08:47:40,2017-06-15 08:47:59,,19,0,19
34,109,2017-6-15 08:46:18,2017-06-15 08:47:29,,71,0,71
15,110,2017-6-15 08:43:21,2017-06-15 08:44:02,,41,0,41
15,110,2017-6-15 08:44:43,2017-06-15 08:45:57,,74,0,74
34,111,2017-6-15 08:44:25,2017-06-15 08:45:41,,76,0,76
15,109,2017-6-15 08:41:31,2017-06-15 08:43:13,2017-06-15 08:41:31,102,0,102
15,108,2017-6-15 08:37:25,2017-06-15 08:37:36,,11,0,11
15,107,2017-6-15 08:37:01,2017-06-15 08:37:18,,17,0,17
15,106,2017-6-15 08:36:47,2017-06-15 08:36:54,,7,0,7
