学生序号,题号,Activity时间,Answer时间,时间差
19,94,2017-6-1 07:41:20,2017-06-01 07:41:32,12
38,94,2017-6-1 07:41:04,2017-06-01 07:41:31,27
32,95,2017-6-1 07:40:51,2017-06-01 07:41:17,26
46,91,2017-6-1 07:37:16,2017-06-01 07:37:45,29
46,91,2017-6-1 07:40:48,2017-06-01 07:41:14,26
39,96,2017-6-1 07:39:55,2017-06-01 07:41:12,77
16,94,2017-6-1 07:40:36,2017-06-01 07:41:11,35
73,95,2017-6-1 07:40:58,2017-06-01 07:41:07,9
70,93,2017-6-1 07:40:29,2017-06-01 07:41:01,32
48,95,2017-6-1 07:40:12,2017-06-01 07:41:00,48
38,93,2017-6-1 07:40:29,2017-06-01 07:40:58,29
42,66,2017-6-1 07:40:45,2017-06-01 07:40:54,9
32,94,2017-6-1 07:40:35,2017-06-01 07:40:45,10
58,95,2017-6-1 07:38:19,2017-06-01 07:39:37,78
58,95,2017-6-1 07:40:10,2017-06-01 07:40:14,4
58,95,2017-6-1 07:40:32,2017-06-01 07:40:37,5
19,95,2017-6-1 07:37:54,2017-06-01 07:39:05,71
19,95,2017-6-1 07:39:37,2017-06-01 07:40:33,56
32,93,2017-6-1 07:39:58,2017-06-01 07:40:25,27
16,93,2017-6-1 07:40:16,2017-06-01 07:40:25,9
56,94,2017-6-1 07:36:07,2017-06-01 07:40:25,258
38,92,2017-6-1 07:37:33,2017-06-01 07:40:23,170
42,65,2017-6-1 07:39:17,2017-06-01 07:40:18,61
16,92,2017-6-1 07:39:20,2017-06-01 07:40:09,49
52,95,2017-6-1 07:39:18,2017-06-01 07:40:04,46
54,16,2017-5-25 12:30:50,2017-05-25 12:31:15,25
54,16,2017-6-1 07:39:39,2017-06-01 07:40:02,23
54,92,2017-6-1 07:38:37,2017-06-01 07:39:20,43
70,92,2017-6-1 07:37:29,2017-06-01 07:39:01,92
39,95,2017-6-1 07:37:36,2017-06-01 07:38:55,79
32,92,2017-6-1 07:38:07,2017-06-01 07:38:47,40
42,64,2017-6-1 07:37:15,2017-06-01 07:38:38,83
52,94,2017-6-1 07:34:22,2017-06-01 07:38:37,255
31,95,2017-6-1 07:37:50,2017-06-01 07:38:31,41
54,93,2017-6-1 07:34:14,2017-06-01 07:38:28,254
48,94,2017-6-1 07:37:31,2017-06-01 07:38:28,57
21,91,2017-6-1 07:37:06,2017-06-01 07:38:24,78
75,91,2017-6-1 07:37:37,2017-06-01 07:38:11,34
44,97,2017-6-1 07:37:48,2017-06-01 07:38:10,22
67,91,2017-6-1 07:36:50,2017-06-01 07:38:05,75
32,91,2017-6-1 07:37:41,2017-06-01 07:37:59,18
71,91,2017-6-1 07:34:45,2017-06-01 07:37:55,190
58,96,2017-6-1 07:36:05,2017-06-01 07:37:44,99
31,94,2017-6-1 07:37:09,2017-06-01 07:37:43,34
32,97,2017-6-1 07:37:20,2017-06-01 07:37:34,14
39,94,2017-6-1 07:36:53,2017-06-01 07:37:27,34
38,91,2017-6-1 07:37:09,2017-06-01 07:37:26,17
16,91,2017-6-1 07:36:28,2017-06-01 07:37:24,56
48,93,2017-6-1 07:35:07,2017-06-01 07:37:24,137
75,97,2017-6-1 07:36:17,2017-06-01 07:37:22,65
31,93,2017-6-1 07:36:48,2017-06-01 07:37:03,15
38,97,2017-6-1 07:28:17,2017-06-01 07:37:02,525
44,91,2017-6-1 07:26:43,2017-06-01 07:36:49,606
74,97,2017-6-1 07:36:23,2017-06-01 07:36:45,22
31,92,2017-6-1 07:36:05,2017-06-01 07:36:41,36
67,92,2017-6-1 07:35:37,2017-06-01 07:36:28,51
42,63,2017-6-1 07:35:22,2017-06-01 07:36:21,59
56,93,2017-6-1 07:35:51,2017-06-01 07:36:01,10
83,97,2017-6-1 07:31:33,2017-06-01 07:36:00,267
58,97,2017-6-1 07:35:41,2017-06-01 07:35:58,17
39,93,2017-6-1 07:35:17,2017-06-01 07:35:56,39
45,93,2017-6-1 07:35:13,2017-06-01 07:35:45,32
56,92,2017-6-1 07:34:58,2017-06-01 07:35:43,45
59,97,2017-6-1 07:33:27,2017-06-01 07:35:43,136
58,92,2017-6-1 07:35:26,2017-06-01 07:35:40,14
67,93,2017-6-1 07:35:19,2017-06-01 07:35:29,10
31,91,2017-6-1 07:34:56,2017-06-01 07:35:24,28
19,96,2017-6-1 07:28:39,2017-06-01 07:35:22,403
67,94,2017-6-1 07:34:23,2017-06-01 07:35:07,44
39,92,2017-6-1 07:33:34,2017-06-01 07:35:06,92
16,95,2017-6-1 07:32:46,2017-06-01 07:35:05,139
45,94,2017-6-1 07:34:19,2017-06-01 07:35:03,44
48,92,2017-6-1 07:34:34,2017-06-01 07:34:58,24
31,97,2017-6-1 07:34:33,2017-06-01 07:34:50,17
12,97,2017-6-1 07:34:04,2017-06-01 07:34:36,32
69,97,2017-6-1 07:31:36,2017-06-01 07:34:31,175
52,93,2017-6-1 07:33:58,2017-06-01 07:34:14,16
45,95,2017-6-1 07:33:27,2017-06-01 07:34:09,42
42,62,2017-6-1 07:33:37,2017-06-01 07:34:07,30
67,95,2017-6-1 07:32:55,2017-06-01 07:34:00,65
73,96,2017-6-1 07:32:28,2017-06-01 07:34:00,92
54,94,2017-6-1 07:33:30,2017-06-01 07:34:00,30
52,92,2017-6-1 07:30:03,2017-06-01 07:33:51,228
12,96,2017-6-1 07:32:37,2017-06-01 07:33:29,52
39,91,2017-6-1 07:31:50,2017-06-01 07:33:22,92
45,96,2017-6-1 07:32:00,2017-06-01 07:33:20,80
71,92,2017-6-1 07:30:52,2017-06-01 07:33:13,141
59,96,2017-6-1 07:32:23,2017-06-01 07:33:13,50
42,97,2017-6-1 07:33:07,2017-06-01 07:33:13,6
48,91,2017-6-1 07:29:54,2017-06-01 07:30:15,21
48,91,2017-6-1 07:32:57,2017-06-01 07:33:01,4
11,96,2017-6-1 07:32:26,2017-06-01 07:32:58,32
79,96,2017-6-1 07:32:03,2017-06-01 07:32:47,44
67,96,2017-6-1 07:30:26,2017-06-01 07:32:36,130
16,96,2017-6-1 07:28:35,2017-06-01 07:32:28,233
12,95,2017-6-1 07:32:03,2017-06-01 07:32:26,23
73,97,2017-6-1 07:32:18,2017-06-01 07:32:22,4
11,95,2017-6-1 07:29:06,2017-06-01 07:32:19,193
59,95,2017-6-1 07:30:28,2017-06-01 07:32:16,108
53,97,2017-6-1 07:31:00,2017-06-01 07:31:57,57
79,95,2017-6-1 07:31:21,2017-06-01 07:31:57,36
45,97,2017-6-1 07:31:27,2017-06-01 07:31:51,24
12,94,2017-6-1 07:28:24,2017-06-01 07:31:41,197
45,92,2017-6-1 07:27:35,2017-06-01 07:31:17,222
39,97,2017-6-1 07:25:07,2017-06-01 07:31:16,369
79,94,2017-6-1 07:30:43,2017-06-01 07:31:15,32
58,91,2017-6-1 07:28:06,2017-06-01 07:31:06,180
54,95,2017-6-1 07:30:03,2017-06-01 07:30:51,48
56,91,2017-6-1 07:29:17,2017-06-01 07:30:45,88
79,93,2017-6-1 07:30:23,2017-06-01 07:30:37,14
59,94,2017-6-1 07:30:06,2017-06-01 07:30:21,15
71,93,2017-6-1 07:29:58,2017-06-01 07:30:19,21
79,92,2017-6-1 07:29:29,2017-06-01 07:30:16,47
70,91,2017-6-1 07:29:17,2017-06-01 07:30:09,52
67,97,2017-6-1 07:29:01,2017-06-01 07:30:08,67
59,93,2017-6-1 07:29:25,2017-06-01 07:29:58,33
52,91,2017-6-1 07:25:06,2017-06-01 07:29:54,288
79,91,2017-6-1 07:29:01,2017-06-01 07:29:23,22
59,92,2017-6-1 07:27:44,2017-06-01 07:29:17,93
26,94,2017-6-1 07:29:08,2017-06-01 07:29:16,8
70,97,2017-6-1 07:29:02,2017-06-01 07:29:09,7
71,94,2017-6-1 07:28:42,2017-06-01 07:29:01,19
26,95,2017-6-1 07:28:48,2017-06-01 07:29:01,13
11,94,2017-6-1 07:26:47,2017-06-01 07:28:59,132
79,90,2017-6-1 07:28:39,2017-06-01 07:28:56,17
26,97,2017-6-1 07:26:50,2017-06-01 07:28:34,104
19,97,2017-6-1 07:27:29,2017-06-01 07:28:31,62
16,97,2017-6-1 07:27:41,2017-06-01 07:28:27,46
79,89,2017-6-1 07:27:01,2017-06-01 07:28:25,84
54,97,2017-6-1 07:26:40,2017-06-01 07:28:23,103
18,97,2017-6-1 07:27:52,2017-06-01 07:28:10,18
18,96,2017-6-1 07:27:00,2017-06-01 07:27:46,46
71,95,2017-6-1 07:24:41,2017-06-01 07:27:41,180
59,91,2017-6-1 07:25:57,2017-06-01 07:27:36,99
45,91,2017-6-1 07:26:43,2017-06-01 07:27:13,30
21,96,2017-6-1 07:22:15,2017-06-01 07:27:04,289
18,95,2017-6-1 07:25:01,2017-06-01 07:26:41,100
11,93,2017-6-1 07:23:30,2017-06-01 07:26:39,189
79,88,2017-6-1 07:25:30,2017-06-01 07:26:39,69
79,87,2017-6-1 07:25:09,2017-06-01 07:25:24,15
52,96,2017-6-1 07:24:28,2017-06-01 07:24:58,30
79,86,2017-6-1 07:23:52,2017-06-01 07:24:54,62
18,94,2017-6-1 07:24:02,2017-06-01 07:24:53,51
79,85,2017-6-1 07:23:26,2017-06-01 07:23:45,19
18,93,2017-6-1 07:23:17,2017-06-01 07:23:34,17
71,96,2017-6-1 07:22:17,2017-06-01 07:23:27,70
11,92,2017-6-1 07:22:27,2017-06-01 07:23:23,56
52,97,2017-6-1 07:21:56,2017-06-01 07:23:20,84
79,84,2017-6-1 07:22:37,2017-06-01 07:23:17,40
18,92,2017-6-1 07:22:29,2017-06-01 07:23:11,42
79,97,2017-6-1 07:21:58,2017-06-01 07:22:25,27
71,97,2017-6-1 07:21:30,2017-06-01 07:22:10,40
18,91,2017-6-1 07:21:37,2017-06-01 07:22:08,31
11,91,2017-6-1 07:21:12,2017-06-01 07:21:54,42
21,97,2017-6-1 07:20:51,2017-06-01 07:21:52,61
11,97,2017-6-1 07:19:52,2017-06-01 07:20:35,43
36,95,2017-6-1 06:28:26,2017-06-01 06:28:53,27
36,94,2017-6-1 06:27:32,2017-06-01 06:28:08,36
36,93,2017-6-1 06:26:55,2017-06-01 06:27:21,26
36,92,2017-6-1 06:26:26,2017-06-01 06:26:44,18
82,90,2017-6-1 06:05:00,2017-06-01 06:05:42,42
82,91,2017-6-1 06:04:08,2017-06-01 06:04:50,42
82,92,2017-6-1 06:03:31,2017-06-01 06:03:57,26
82,93,2017-6-1 06:02:49,2017-06-01 06:03:14,25
82,94,2017-6-1 06:01:53,2017-06-01 06:02:38,45
82,95,2017-6-1 06:01:18,2017-06-01 06:01:43,25
82,96,2017-6-1 05:59:35,2017-06-01 06:00:43,68
60,53,2017-6-1 05:51:25,2017-06-01 05:56:57,332
64,96,2017-6-1 05:54:03,2017-06-01 05:54:48,45
64,95,2017-6-1 05:53:34,2017-06-01 05:53:55,21
64,94,2017-6-1 05:53:10,2017-06-01 05:53:25,15
65,95,2017-6-1 05:52:08,2017-06-01 05:53:21,73
64,93,2017-6-1 05:51:58,2017-06-01 05:52:58,60
65,94,2017-6-1 05:51:41,2017-06-01 05:51:54,13
9,95,2017-6-1 05:50:48,2017-06-01 05:51:47,59
64,92,2017-6-1 05:50:04,2017-06-01 05:51:42,98
65,93,2017-6-1 05:49:43,2017-06-01 05:51:20,97
63,96,2017-6-1 05:45:50,2017-06-01 05:50:32,282
64,91,2017-6-1 05:49:25,2017-06-01 05:49:53,28
65,92,2017-6-1 05:49:10,2017-06-01 05:49:31,21
64,90,2017-6-1 05:48:46,2017-06-01 05:49:14,28
65,91,2017-6-1 05:47:26,2017-06-01 05:48:41,75
64,89,2017-6-1 05:47:18,2017-06-01 05:48:29,71
65,90,2017-6-1 05:46:53,2017-06-01 05:47:13,20
64,88,2017-6-1 05:46:38,2017-06-01 05:47:08,30
60,52,2017-6-1 05:39:31,2017-06-01 05:46:29,418
64,87,2017-6-1 05:46:16,2017-06-01 05:46:28,12
9,96,2017-6-1 05:45:12,2017-06-01 05:46:17,65
65,96,2017-6-1 05:36:07,2017-06-01 05:46:05,598
64,86,2017-6-1 05:45:19,2017-06-01 05:45:57,38
63,95,2017-6-1 05:41:14,2017-06-01 05:45:38,264
64,85,2017-6-1 05:44:41,2017-06-01 05:45:02,21
64,84,2017-6-1 05:44:23,2017-06-01 05:44:27,4
64,83,2017-6-1 05:40:32,2017-06-01 05:41:16,44
35,92,2017-6-1 05:29:21,2017-06-01 05:41:04,703
63,94,2017-6-1 05:40:29,2017-06-01 05:41:03,34
63,93,2017-6-1 05:40:08,2017-06-01 05:40:19,11
36,91,2017-6-1 05:38:29,2017-06-01 05:38:59,30
9,91,2017-6-1 05:37:49,2017-06-01 05:38:27,38
63,92,2017-6-1 05:35:42,2017-06-01 05:37:08,86
54,96,2017-6-1 05:31:45,2017-06-01 05:36:10,265
63,91,2017-6-1 05:33:16,2017-06-01 05:34:05,49
63,91,2017-6-1 05:34:14,2017-06-01 05:34:29,15
63,90,2017-6-1 05:33:01,2017-06-01 05:33:10,9
35,93,2017-6-1 05:28:57,2017-06-01 05:29:10,13
35,94,2017-6-1 05:27:40,2017-06-01 05:28:38,58
35,95,2017-6-1 05:15:25,2017-06-01 05:17:08,103
13,96,2017-6-1 05:08:01,2017-06-01 05:09:00,59
13,95,2017-5-30 09:43:57,2017-05-30 09:44:52,55
13,95,2017-6-1 05:07:22,2017-06-01 05:07:28,6
35,96,2017-6-1 04:54:35,2017-06-01 05:01:02,387
74,94,2017-6-1 04:55:18,2017-06-01 04:55:30,12
74,91,2017-6-1 04:51:43,2017-06-01 04:52:08,25
74,95,2017-6-1 04:48:01,2017-06-01 04:50:05,124
74,96,2017-6-1 04:33:10,2017-06-01 04:47:00,830
53,95,2017-5-31 12:41:26,2017-05-31 12:42:17,51
53,94,2017-5-31 12:38:46,2017-05-31 12:41:04,138
53,96,2017-5-31 12:35:54,2017-05-31 12:38:27,153
25,95,2017-5-31 08:39:07,2017-05-31 08:40:31,84
25,94,2017-5-31 07:57:54,2017-05-31 08:07:26,572
20,96,2017-5-31 07:48:46,2017-05-31 07:50:22,96
25,96,2017-5-31 07:42:35,2017-05-31 07:44:49,134
13,94,2017-5-30 09:43:25,2017-05-30 09:43:53,28
73,93,2017-5-30 04:54:54,2017-05-30 04:55:04,10
73,92,2017-5-30 04:48:58,2017-05-30 04:50:07,69
73,94,2017-5-30 04:34:20,2017-05-30 04:36:49,149
33,94,2017-5-30 01:46:38,2017-05-30 01:47:47,69
33,94,2017-5-30 02:23:51,2017-05-30 02:24:08,17
33,86,2017-5-30 02:22:36,2017-05-30 02:23:06,30
33,86,2017-5-30 02:23:19,2017-05-30 02:23:39,20
33,87,2017-5-30 02:11:24,2017-05-30 02:21:42,618
33,88,2017-5-30 02:10:04,2017-05-30 02:10:44,40
33,88,2017-5-30 02:10:50,2017-05-30 02:11:15,25
33,89,2017-5-30 02:09:28,2017-05-30 02:09:58,30
33,90,2017-5-30 02:09:07,2017-05-30 02:09:22,15
33,91,2017-5-30 02:03:47,2017-05-30 02:04:34,47
33,91,2017-5-30 02:04:44,2017-05-30 02:08:07,203
33,92,2017-5-30 01:58:37,2017-05-30 02:03:13,276
33,92,2017-5-30 02:03:16,2017-05-30 02:03:31,15
33,93,2017-5-30 01:58:14,2017-05-30 01:58:30,16
33,85,2017-5-30 01:56:29,2017-05-30 01:57:18,49
33,84,2017-5-30 01:55:16,2017-05-30 01:55:58,42
33,84,2017-5-30 01:56:03,2017-05-30 01:56:19,16
33,81,2017-5-30 01:48:37,2017-05-30 01:52:29,232
22,92,2017-5-29 12:23:09,2017-05-29 12:24:21,72
22,93,2017-5-29 12:22:44,2017-05-29 12:23:03,19
51,94,2017-5-29 07:28:46,2017-05-29 07:29:16,30
12,93,2017-5-29 07:05:49,2017-05-29 07:06:49,60
12,92,2017-5-29 07:05:12,2017-05-29 07:05:36,24
12,91,2017-5-29 07:01:16,2017-05-29 07:02:15,59
51,92,2017-5-29 05:50:38,2017-05-29 05:51:22,44
51,93,2017-5-29 05:50:03,2017-05-29 05:50:29,26
13,93,2017-5-29 02:57:24,2017-05-29 02:58:03,39
53,92,2017-5-29 02:00:51,2017-05-29 02:01:33,42
53,91,2017-5-29 01:59:27,2017-05-29 02:00:36,69
53,93,2017-5-29 01:58:50,2017-05-29 01:59:15,25
25,92,2017-5-28 09:48:24,2017-05-28 09:49:25,61
25,91,2017-5-28 09:45:26,2017-05-28 09:46:13,47
25,91,2017-5-28 09:46:18,2017-05-28 09:48:06,108
25,93,2017-5-28 09:44:48,2017-05-28 09:45:14,26
28,91,2017-5-27 15:11:01,2017-05-27 15:12:17,76
28,90,2017-5-27 15:10:42,2017-05-27 15:10:56,14
28,89,2017-5-27 15:10:21,2017-05-27 15:10:36,15
28,88,2017-5-27 15:09:54,2017-05-27 15:10:15,21
28,87,2017-5-27 15:09:33,2017-05-27 15:09:48,15
28,86,2017-5-27 15:08:45,2017-05-27 15:09:25,40
28,85,2017-5-27 15:07:31,2017-05-27 15:08:35,64
28,84,2017-5-27 15:06:54,2017-05-27 15:07:21,27
28,83,2017-5-27 15:06:11,2017-05-27 15:06:45,34
28,92,2017-5-27 15:05:30,2017-05-27 15:05:59,29
13,92,2017-5-27 13:30:48,2017-05-27 13:31:52,64
13,91,2017-5-27 13:29:31,2017-05-27 13:30:03,32
13,90,2017-5-27 13:29:10,2017-05-27 13:29:20,10
13,89,2017-5-27 13:28:17,2017-05-27 13:28:56,39
13,88,2017-5-27 13:27:58,2017-05-27 13:28:08,10
20,89,2017-5-25 07:34:43,2017-05-25 07:35:21,38
20,89,2017-5-27 09:04:26,2017-05-27 09:04:52,26
20,86,2017-5-25 07:39:50,2017-05-25 07:41:06,76
20,86,2017-5-27 09:02:41,2017-05-27 09:03:27,46
20,88,2017-5-25 07:35:40,2017-05-25 07:36:10,30
20,88,2017-5-25 07:38:04,2017-05-25 07:38:08,4
20,88,2017-5-27 09:02:02,2017-05-27 09:02:25,23
20,91,2017-5-27 09:00:31,2017-05-27 09:01:06,35
20,92,2017-5-27 08:56:21,2017-05-27 08:59:05,164
54,91,2017-5-27 03:40:57,2017-05-27 03:41:45,48
51,91,2017-5-26 12:35:49,2017-05-26 12:36:23,34
32,90,2017-5-25 14:41:38,2017-05-25 14:42:26,48
51,90,2017-5-25 14:07:59,2017-05-25 14:08:26,27
54,89,2017-5-25 12:29:49,2017-05-25 12:30:38,49
54,90,2017-5-25 12:29:03,2017-05-25 12:29:38,35
39,89,2017-5-25 09:26:57,2017-05-25 09:28:40,103
39,88,2017-5-25 09:25:18,2017-05-25 09:26:26,68
39,87,2017-5-25 09:24:48,2017-05-25 09:25:09,21
39,86,2017-5-25 09:20:40,2017-05-25 09:23:18,158
39,85,2017-5-25 09:20:23,2017-05-25 09:20:32,9
39,84,2017-5-25 09:19:11,2017-05-25 09:20:08,57
39,83,2017-5-25 09:18:10,2017-05-25 09:19:03,53
39,82,2017-5-25 09:11:23,2017-05-25 09:15:35,252
25,84,2017-5-25 09:03:30,2017-05-25 09:12:50,560
69,89,2017-5-25 09:11:46,2017-05-25 09:12:45,59
69,88,2017-5-25 09:09:29,2017-05-25 09:10:26,57
39,81,2017-5-25 09:00:37,2017-05-25 09:06:26,349
69,87,2017-5-25 09:05:36,2017-05-25 09:05:59,23
69,86,2017-5-25 08:59:44,2017-05-25 09:03:45,241
25,90,2017-5-25 09:02:17,2017-05-25 09:03:16,59
25,89,2017-5-25 08:50:29,2017-05-25 09:02:09,700
39,79,2017-5-25 08:59:39,2017-05-25 09:00:21,42
69,85,2017-5-25 08:59:30,2017-05-25 08:59:39,9
39,78,2017-5-25 08:59:16,2017-05-25 08:59:32,16
69,84,2017-5-25 08:59:05,2017-05-25 08:59:26,21
39,77,2017-5-25 08:57:28,2017-05-25 08:59:04,96
69,83,2017-5-25 08:57:50,2017-05-25 08:58:24,34
69,82,2017-5-25 08:54:47,2017-05-25 08:57:44,177
69,81,2017-5-25 08:35:26,2017-05-25 08:53:39,1093
39,76,2017-5-25 08:50:30,2017-05-25 08:50:59,29
39,90,2017-5-25 08:47:58,2017-05-25 08:50:16,138
8,86,2017-5-25 08:46:18,2017-05-25 08:48:47,149
25,88,2017-5-25 08:45:59,2017-05-25 08:47:21,82
8,85,2017-5-25 08:45:47,2017-05-25 08:46:05,18
25,87,2017-5-25 08:45:25,2017-05-25 08:45:51,26
8,87,2017-5-25 08:45:12,2017-05-25 08:45:25,13
25,86,2017-5-25 08:38:15,2017-05-25 08:45:07,412
8,88,2017-5-25 08:39:55,2017-05-25 08:44:19,264
30,89,2017-5-25 08:43:32,2017-05-25 08:44:11,39
30,87,2017-5-25 08:43:07,2017-05-25 08:43:16,9
30,85,2017-5-25 08:41:21,2017-05-25 08:42:55,94
30,84,2017-5-25 08:40:48,2017-05-25 08:41:12,24
30,88,2017-5-25 08:39:19,2017-05-25 08:40:15,56
75,88,2017-5-25 08:39:12,2017-05-25 08:39:26,14
25,85,2017-5-25 08:36:51,2017-05-25 08:37:56,65
8,89,2017-5-25 08:34:05,2017-05-25 08:37:29,204
75,87,2017-5-25 08:34:55,2017-05-25 08:35:26,31
69,79,2017-5-25 08:34:19,2017-05-25 08:34:58,39
30,86,2017-5-25 08:29:58,2017-05-25 08:34:56,298
75,86,2017-5-25 08:23:27,2017-05-25 08:34:32,665
69,78,2017-5-25 08:34:02,2017-05-25 08:34:14,12
8,84,2017-5-25 08:30:58,2017-05-25 08:32:09,71
8,90,2017-5-25 08:23:16,2017-05-25 08:30:37,441
30,83,2017-5-25 08:28:15,2017-05-25 08:28:47,32
67,89,2017-5-25 07:22:41,2017-05-25 07:24:25,104
67,89,2017-5-25 08:27:20,2017-05-25 08:28:14,54
30,82,2017-5-25 08:20:06,2017-05-25 08:28:02,476
69,77,2017-5-25 08:24:29,2017-05-25 08:26:31,122
69,76,2017-5-25 08:21:45,2017-05-25 08:23:41,116
56,90,2017-5-25 08:22:45,2017-05-25 08:23:01,16
56,89,2017-5-25 08:22:06,2017-05-25 08:22:39,33
56,88,2017-5-25 08:20:11,2017-05-25 08:21:36,85
70,89,2017-5-25 08:20:19,2017-05-25 08:21:00,41
15,81,2017-5-25 08:05:08,2017-05-25 08:20:50,942
38,90,2017-5-25 08:20:01,2017-05-25 08:20:19,18
56,87,2017-5-25 08:19:58,2017-05-25 08:20:06,8
56,86,2017-5-25 08:16:52,2017-05-25 08:19:52,180
38,89,2017-5-25 08:17:59,2017-05-25 08:19:37,98
70,88,2017-5-25 08:17:10,2017-05-25 08:19:10,120
70,87,2017-5-25 08:16:44,2017-05-25 08:17:00,16
56,85,2017-5-25 08:16:36,2017-05-25 08:16:43,7
56,84,2017-5-25 08:15:56,2017-05-25 08:16:31,35
70,86,2017-5-25 08:09:53,2017-05-25 08:16:17,384
84,69,2017-5-25 08:11:44,2017-05-25 08:15:38,234
56,83,2017-5-25 08:15:05,2017-05-25 08:15:29,24
56,82,2017-5-25 08:14:01,2017-05-25 08:14:49,48
16,89,2017-5-25 08:10:16,2017-05-25 08:11:36,80
84,70,2017-5-25 08:11:16,2017-05-25 08:11:29,13
30,81,2017-5-25 08:04:19,2017-05-25 08:11:09,410
16,88,2017-5-25 08:08:09,2017-05-25 08:10:07,118
75,85,2017-5-25 08:08:49,2017-05-25 08:09:53,64
84,71,2017-5-25 08:06:13,2017-05-25 08:08:41,148
16,87,2017-5-25 08:04:16,2017-05-25 08:08:03,227
75,84,2017-5-25 08:07:27,2017-05-25 08:07:53,26
84,72,2017-5-25 08:05:39,2017-05-25 08:06:08,29
22,84,2017-5-25 08:05:44,2017-05-25 08:06:04,20
70,85,2017-5-25 08:04:44,2017-05-25 08:05:40,56
22,85,2017-5-25 08:02:25,2017-05-25 08:05:39,194
84,73,2017-5-25 08:05:27,2017-05-25 08:05:34,7
84,74,2017-5-25 08:05:11,2017-05-25 08:05:21,10
21,84,2017-5-25 08:04:46,2017-05-25 08:05:14,28
84,75,2017-5-25 08:04:37,2017-05-25 08:05:04,27
15,79,2017-5-25 08:04:54,2017-05-25 08:05:00,6
21,85,2017-5-25 08:02:25,2017-05-25 08:04:40,135
84,76,2017-5-25 08:02:44,2017-05-25 08:04:17,93
30,79,2017-5-25 08:03:56,2017-05-25 08:04:11,15
15,90,2017-5-25 08:03:49,2017-05-25 08:04:10,21
70,84,2017-5-25 07:56:54,2017-05-25 08:04:07,433
16,86,2017-5-25 08:03:29,2017-05-25 08:04:07,38
30,78,2017-5-25 08:03:30,2017-05-25 08:03:47,17
15,89,2017-5-25 07:50:45,2017-05-25 08:03:45,780
16,85,2017-5-25 08:02:22,2017-05-25 08:03:21,59
30,77,2017-5-25 08:02:14,2017-05-25 08:03:19,65
35,89,2017-5-25 08:02:23,2017-05-25 08:03:09,46
48,90,2017-5-25 08:02:27,2017-05-25 08:02:51,24
84,77,2017-5-25 08:00:38,2017-05-25 08:02:34,116
48,89,2017-5-25 07:58:43,2017-05-25 08:02:20,217
35,88,2017-5-25 07:48:34,2017-05-25 08:02:17,823
21,86,2017-5-25 08:00:09,2017-05-25 08:02:17,128
75,89,2017-5-25 08:00:35,2017-05-25 08:02:14,99
16,84,2017-5-25 08:00:22,2017-05-25 08:01:26,64
36,88,2017-5-25 08:00:01,2017-05-25 08:01:12,71
84,78,2017-5-25 07:58:35,2017-05-25 08:00:22,107
16,90,2017-5-25 08:00:01,2017-05-25 08:00:17,16
75,90,2017-5-25 07:59:49,2017-05-25 08:00:15,26
21,87,2017-5-25 07:59:54,2017-05-25 08:00:03,9
36,87,2017-5-25 07:59:46,2017-05-25 07:59:54,8
36,86,2017-5-25 07:56:51,2017-05-25 07:59:22,151
22,87,2017-5-25 07:56:10,2017-05-25 07:59:15,185
84,79,2017-5-25 07:58:07,2017-05-25 07:58:29,22
48,88,2017-5-25 07:57:09,2017-05-25 07:58:27,78
84,89,2017-5-25 07:52:46,2017-05-25 07:57:54,308
20,77,2017-5-25 07:56:19,2017-05-25 07:57:34,75
48,87,2017-5-25 07:56:31,2017-05-25 07:57:03,32
38,88,2017-5-25 07:55:44,2017-05-25 07:56:45,61
36,89,2017-5-25 07:56:23,2017-05-25 07:56:42,19
70,90,2017-5-25 07:56:15,2017-05-25 07:56:23,8
48,86,2017-5-25 07:53:40,2017-05-25 07:56:20,160
23,85,2017-5-25 07:55:45,2017-05-25 07:56:08,23
36,85,2017-5-25 07:54:29,2017-05-25 07:56:06,97
38,87,2017-5-25 07:55:28,2017-05-25 07:55:39,11
38,86,2017-5-25 07:54:25,2017-05-25 07:54:58,33
38,86,2017-5-25 07:55:04,2017-05-25 07:55:09,5
38,85,2017-5-25 07:54:07,2017-05-25 07:54:11,4
21,88,2017-5-25 07:52:54,2017-05-25 07:54:04,70
38,83,2017-5-18 08:47:45,2017-05-18 08:50:04,139
38,83,2017-5-25 07:53:09,2017-05-25 07:53:45,36
48,85,2017-5-25 07:52:36,2017-05-25 07:53:32,56
36,84,2017-5-25 07:51:58,2017-05-25 07:53:04,66
48,84,2017-5-25 07:52:07,2017-05-25 07:52:30,23
38,79,2017-5-18 09:04:20,2017-05-18 09:05:24,64
38,79,2017-5-25 07:51:50,2017-05-25 07:51:59,9
38,79,2017-5-25 07:52:19,2017-05-25 07:52:22,3
41,86,2017-5-25 07:47:55,2017-05-25 07:52:07,252
48,83,2017-5-25 07:50:28,2017-05-25 07:51:53,85
36,90,2017-5-25 07:50:24,2017-05-25 07:51:45,81
38,77,2017-5-18 09:05:29,2017-05-18 09:08:09,160
38,77,2017-5-25 07:48:22,2017-05-25 07:50:10,108
38,77,2017-5-25 07:50:34,2017-05-25 07:50:37,3
38,77,2017-5-25 07:51:00,2017-05-25 07:51:02,2
38,77,2017-5-25 07:51:07,2017-05-25 07:51:09,2
